40;40
60;40
80;40
100;40
120;40
140;40
160;40
180;40
200;40
220;40
240;40
260;40
280;40
300;40
320;40
340;40
360;40
380;40
400;40
420;40
440;40
460;40
480;40
500;40
520;40
540;40
560;40
580;40
600;40
620;40
640;40
660;40
680;40
40;440
60;440
80;440
100;440
120;440
140;440
160;440
180;440
200;440
220;440
240;440
260;440
280;440
300;440
320;440
340;440
360;440
380;440
400;440
420;440
440;440
460;440
480;440
500;440
520;440
540;440
560;440
580;440
600;440
620;440
640;440
660;440
680;440
40;40
40;60
40;80
40;100
40;120
40;140
40;160
40;180
40;200
40;220
40;240
40;260
40;280
40;300
40;320
40;340
40;360
40;380
40;400
40;420
680;40
680;60
680;80
680;100
680;120
680;140
680;160
680;180
680;200
680;220
680;240
680;260
680;280
680;300
680;320
680;340
680;360
680;380
680;400
680;420
200;60
200;80
200;100
200;120
500;60
500;80
500;100
500;120
200;360
200;380
200;400
200;420
500;360
500;380
500;400
500;420
100;120
120;120
140;120
100;340
120;340
140;340
100;120
100;140
100;160
100;180
100;280
100;300
100;320
100;340
600;120
600;140
600;160
600;180
600;280
600;300
600;320
600;340
560;120
580;120
600;120
560;340
580;340
600;340
160;180
180;180
200;180
160;280
180;280
200;280
500;180
520;180
540;180
500;280
520;280
540;280
260;120
280;120
300;120
320;120
340;120
360;120
380;120
400;120
420;120
440;120
260;340
280;340
300;340
320;340
340;340
360;340
380;340
400;340
420;340
440;340
260;180
280;180
300;180
400;180
420;180
440;180
260;200
260;220
260;240
260;260
260;280
440;200
440;220
440;240
440;260
440;280
280;280
300;280
320;280
340;280
360;280
380;280
400;280
420;280
440;280
