100;80
130;80
160;80
240;80
270;80
300;80
330;80
360;80
390;80
420;80
450;80
480;80
150;150
180;150
210;150
240;150
270;150
300;150
330;150
360;150
390;150
420;150
450;150
480;150
510;150
540;150
570;150
150;310
180;310
210;310
240;310
270;310
300;310
330;310
360;310
390;310
420;310
450;310
480;310
510;310
540;310
570;310
530;80
560;80
590;80
620;80
100;400
130;400
160;400
240;400
270;400
300;400
330;400
360;400
390;400
420;400
450;400
480;400
530;400
560;400
590;400
620;400
560;80
590;80
620;80
100;230
130;230
160;230
190;230
220;230
480;230
510;230
540;230
570;230
610;230
70;120
70;150
70;180
70;210
70;240
70;270
70;300
70;330
70;360
640;120
640;150
640;180
640;210
640;240
640;270
640;300
640;330
640;360
310;230
350;230
390;230
